"Imports of all grades to New York"
"https://www.eia.gov/petroleum/imports/browser/#/?d=040000a00000&dt=RS&e=202206&f=m&s=200901&vs=PET_IMPORTS.WORLD-RS_NY-ALL.M"
"Tue Sep 27 2022 19:58:59 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"<span style='float:right;'>(thousand barrels)</span>","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020","Nov 2020","Dec 2020","Jan 2021","Feb 2021","Mar 2021","Apr 2021","May 2021","Jun 2021","Jul 2021","Aug 2021","Sep 2021","Oct 2021","Nov 2021","Dec 2021","Jan 2022","Feb 2022","Mar 2022","Apr 2022","May 2022","Jun 2022"
"All grades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"World",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey",16058,14876,12962,12883,13497,16975,14945,17928,16759,16451,11673,11770,10594,10979,15536,13031,14026,11825,13224,12881,11372,7307,8378,8983,12379,10565,13906,13882,11963,10061,11907,11958,11564,14331,12013,11604,11117,12467,12317,11895,14212,13076,11319,13657,10947,11418,6501,10234,12689,10230,10482,11227,10844,9927,8963,12920,11911,6231,6909,11659,7863,11217,8803,9411,12556,10125,11070,10242,11407,10590,9134,8763,10672,7706,9639,8075,11676,8819,11821,11850,9276,11132,11180,10869,12146,10156,11965,11340,9477,11311,13007,11700,11813,11815,11073,9850,10843,5155,5695,11185,11036,11703,11598,12723,10760,11603,12386,11725,12124,5609,6095,11001,11694,10665,11052,8706,8074,9670,10390,10254,11416,7026,8540,9394,9352,9980,8928,11343,8713,11128,9093,8814,8475,6953,6423,6363,6561,9019,5753,8405,7341,6595,7692,8292,8551,7393,8285,10284,9597,9073,10872,10585,9558,10515,9750,11318,9205,8460,8492,11139,9841,9693
"New York","--","--","--","--","--","--","--","--","--","--","--","--","--",458,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",28,85,99,1,"--","--","--",22,3,1,"--","--",15,11,1,"--","--","--",48,"--","--","--","--","--","--","--","--","--","--","--",560,101,19,"--","--","--","--","--","--",700,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1408,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Albania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",256,234,"--","--","--",240,"--","--","--",163,272,306,450,256,"--",290,"--","--","--","--","--",295,483,487,655,319,257,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Algeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--",160,600,350,"--",240,"--","--","--","--","--","--","--","--","--",1139,"--","--","--","--","--","--","--","--","--","--","--",390,665,"--","--",987,105,"--",1099,350,700,"--","--",160,"--","--","--","--","--","--",620,"--","--",380,270,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",1258,"--",368,1683,1289,855,520,"--","--",547,592,1859,630,"--","--","--","--","--",497,196,15,431,"--",624,1498,693,430,1316,"--","--",636,"--","--","--",605,"--","--","--","--","--",455,144,"--","--","--","--","--","--","--","--","--","--",557,1888,736,1400,937,2039,205,215,386,"--","--","--",631,"--","--","--","--","--","--","--"
"Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey",2273,1492,1458,979,1699,2620,1743,3487,2535,3648,1593,2140,1618,2634,2715,2245,1994,1490,1944,2648,1381,587,"--",1729,1956,2124,2098,1847,1022,959,1839,1797,1100,2324,2339,1483,1642,1185,1012,1943,1845,1075,1650,1395,2393,1680,"--",1230,1650,300,860,1508,3200,2760,1500,1650,1410,300,775,2415,1810,995,1574,1530,2166,1909,1767,1609,2681,2174,979,947,424,730,796,1594,2342,1286,1299,912,1779,1771,2730,882,2122,1598,1276,2971,1458,1671,2813,2140,2372,2342,1881,1643,2061,"--",275,2501,2242,3057,3332,2794,2751,2427,537,1917,888,"--",173,812,1456,1487,902,1862,568,1451,833,"--",248,"--",174,"--","--","--","--","--",50,50,"--","--",1,"--","--","--",215,1552,8,58,"--",146,239,6,917,18,22,629,344,24,544,725,351,740,1282,50,1911,35,"--",581,1013,1329
"Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",367,528,520,863,348,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
"Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey","--",200,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
