"Imports of all grades to New York"
"https://www.eia.gov/petroleum/imports/browser/#/?d=040000a00000&dt=RS&vs=PET_IMPORTS.WORLD-RS_NY-ALL.A"
"Tue Sep 27 2022 19:40:18 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"<span style='float:right;'>(thousand barrels)</span>","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"All grades",,,,,,,,,,,,,
"World",,,,,,,,,,,,,
"New Jersey",176777,138136,146133,139160,123992,121181,122715,135653,126412,115334,113727,87872,115781
"New York","--",458,"--","--",235,79,661,719,"--","--","--",1408,"--"
"Albania",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--",490,1977,2496,"--","--","--","--","--"
"Algeria",,,,,,,,,,,,,
"New Jersey",760,590,1139,4296,1430,"--","--",5453,4148,5700,1840,2445,6549
"Angola",,,,,,,,,,,,,
"New Jersey",25667,20985,20888,17050,18328,20141,16545,24287,23894,10432,522,2225,5646
"Argentina",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--","--",2626,"--"
"Australia",,,,,,,,,,,,,
"New Jersey",200,"--","--","--","--","--","--","--","--","--","--","--","--"
"New York","--","--","--","--","--","--",661,"--","--","--","--","--","--"
"Azerbaijan",,,,,,,,,,,,,
"New Jersey",1539,"--","--","--","--","--","--","--","--","--","--","--","--"
"Brazil",,,,,,,,,,,,,
"New Jersey","--",251,299,2184,"--",838,616,593,"--","--","--","--",223
"Cameroon",,,,,,,,,,,,,
"New Jersey",2657,582,"--","--","--","--","--","--","--",1144,2035,6336,952
"Canada",,,,,,,,,,,,,
"New Jersey",38188,38976,45528,39827,41132,49674,42746,38076,22198,20802,32354,22290,19497
"New York","--",458,"--","--",235,79,"--",700,"--","--","--",1408,"--"
"Chad",,,,,,,,,,,,,
"New Jersey",2780,422,107,"--","--","--",477,"--","--","--","--","--","--"
"Colombia",,,,,,,,,,,,,
"New Jersey",2346,2223,2231,5986,8173,3124,11525,12488,5312,4029,4715,500,"--"
"Congo-Brazzaville",,,,,,,,,,,,,
"New Jersey",6629,5054,6641,7317,1870,1463,3111,152,"--",877,"--","--","--"
"New York","--","--","--","--","--","--","--",19,"--","--","--","--","--"
"Denmark",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--",569,"--","--"
"Ecuador",,,,,,,,,,,,,
"New Jersey",687,"--","--","--","--","--",370,"--","--","--","--","--","--"
"Egypt",,,,,,,,,,,,,
"New Jersey",624,"--","--","--","--","--","--",995,746,2230,2755,1019,"--"
"Equatorial Guinea",,,,,,,,,,,,,
"New Jersey",3125,"--","--",4609,1350,"--","--",1298,"--","--","--","--","--"
"Gabon",,,,,,,,,,,,,
"New Jersey",5946,1131,"--",2290,1270,"--",2627,439,"--",452,"--","--","--"
"Ghana",,,,,,,,,,,,,
"New Jersey","--","--",955,"--","--","--","--","--",739,655,3045,5671,10213
"Guatemala",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--",535,"--","--","--","--","--","--","--"
"Iraq",,,,,,,,,,,,,
"New Jersey",11152,8024,7608,7023,1352,13167,7859,15539,14592,7081,"--","--","--"
"Italy",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--",481,"--","--","--","--","--","--"
"Kazakhstan",,,,,,,,,,,,,
"New Jersey","--",354,"--","--","--","--","--","--","--","--",1054,501,"--"
"Libya",,,,,,,,,,,,,
"New Jersey",7889,2632,"--",7196,4575,752,730,"--",11241,7392,1918,"--",12472
"Malaysia",,,,,,,,,,,,,
"New Jersey",299,"--","--","--","--","--","--","--","--","--","--","--","--"
"Mauritania",,,,,,,,,,,,,
"New Jersey","--","--","--","--",620,690,"--","--",641,"--","--","--","--"
"Mexico",,,,,,,,,,,,,
"New Jersey","--",1371,546,"--",1100,8002,11475,499,449,1034,446,8061,5635
"Nigeria",,,,,,,,,,,,,
"New Jersey",20018,15309,16473,4229,702,353,1737,2438,10636,16894,21295,10701,14367
"Norway",,,,,,,,,,,,,
"New Jersey",3660,740,"--","--","--","--","--",628,"--",10,2966,4298,15653
"Oman",,,,,,,,,,,,,
"New Jersey","--","--",350,"--","--","--","--","--","--","--","--","--","--"
"Peru",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--","--","--",690
"Russia",,,,,,,,,,,,,
"New Jersey",4728,2833,7374,479,"--","--","--","--",141,2000,2560,2864,"--"
"Saudi Arabia",,,,,,,,,,,,,
"New Jersey",20760,22733,22157,29012,32031,18948,17682,21362,28973,33997,33828,18009,21165
"Spain",,,,,,,,,,,,,
"New Jersey","--","--","--","--","--","--","--","--","--","--",194,"--","--"
"United Kingdom",,,,,,,,,,,,,
"New Jersey","--","--",604,"--",83,"--","--",2189,645,605,1631,326,2719
"Venezuela",,,,,,,,,,,,,
"New Jersey",17123,13926,13233,7662,9976,3004,2757,6721,2057,"--","--","--","--"
