New York Field Production of Crude Oil
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=MCRFPNY1&f=M
21:20:02 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,New York Field Production of Crude Oil Thousand Barrels
Jun 2022,22
May 2022,23
Apr 2022,22
Mar 2022,12
Feb 2022,11
Jan 2022,12
Dec 2021,12
Nov 2021,12
Oct 2021,12
Sep 2021,12
Aug 2021,12
Jul 2021,12
Jun 2021,12
May 2021,12
Apr 2021,12
Mar 2021,12
Feb 2021,11
Jan 2021,12
Dec 2020,12
Nov 2020,12
Oct 2020,12
Sep 2020,12
Aug 2020,12
Jul 2020,12
Jun 2020,12
May 2020,12
Apr 2020,12
Mar 2020,12
Feb 2020,12
Jan 2020,12
Dec 2019,23
Nov 2019,23
Oct 2019,23
Sep 2019,23
Aug 2019,23
Jul 2019,23
Jun 2019,23
May 2019,23
Apr 2019,23
Mar 2019,23
Feb 2019,21
Jan 2019,23
Dec 2018,19
Nov 2018,18
Oct 2018,19
Sep 2018,18
Aug 2018,19
Jul 2018,19
Jun 2018,18
May 2018,19
Apr 2018,18
Mar 2018,19
Feb 2018,17
Jan 2018,19
Dec 2017,16
Nov 2017,16
Oct 2017,16
Sep 2017,16
Aug 2017,16
Jul 2017,16
Jun 2017,16
May 2017,16
Apr 2017,16
Mar 2017,16
Feb 2017,15
Jan 2017,16
Dec 2016,19
Nov 2016,18
Oct 2016,19
Sep 2016,18
Aug 2016,19
Jul 2016,19
Jun 2016,18
May 2016,19
Apr 2016,18
Mar 2016,19
Feb 2016,18
Jan 2016,19
Dec 2015,24
Nov 2015,24
Oct 2015,24
Sep 2015,24
Aug 2015,24
Jul 2015,24
Jun 2015,24
May 2015,24
Apr 2015,24
Mar 2015,24
Feb 2015,22
Jan 2015,24
Dec 2014,30
Nov 2014,29
Oct 2014,30
Sep 2014,29
Aug 2014,30
Jul 2014,30
Jun 2014,29
May 2014,30
Apr 2014,29
Mar 2014,30
Feb 2014,27
Jan 2014,30
Dec 2013,31
Nov 2013,30
Oct 2013,31
Sep 2013,30
Aug 2013,31
Jul 2013,31
Jun 2013,30
May 2013,31
Apr 2013,30
Mar 2013,31
Feb 2013,28
Jan 2013,31
Dec 2012,31
Nov 2012,30
Oct 2012,31
Sep 2012,30
Aug 2012,31
Jul 2012,31
Jun 2012,30
May 2012,31
Apr 2012,30
Mar 2012,31
Feb 2012,29
Jan 2012,31
Dec 2011,32
Nov 2011,31
Oct 2011,32
Sep 2011,31
Aug 2011,32
Jul 2011,32
Jun 2011,31
May 2011,32
Apr 2011,31
Mar 2011,32
Feb 2011,29
Jan 2011,32
Dec 2010,32
Nov 2010,31
Oct 2010,32
Sep 2010,31
Aug 2010,32
Jul 2010,32
Jun 2010,31
May 2010,32
Apr 2010,31
Mar 2010,32
Feb 2010,29
Jan 2010,32
Dec 2009,28
Nov 2009,27
Oct 2009,28
Sep 2009,27
Aug 2009,28
Jul 2009,28
Jun 2009,27
May 2009,28
Apr 2009,27
Mar 2009,28
Feb 2009,26
Jan 2009,28
Dec 2008,33
Nov 2008,32
Oct 2008,33
Sep 2008,32
Aug 2008,33
Jul 2008,33
Jun 2008,32
May 2008,33
Apr 2008,32
Mar 2008,33
Feb 2008,31
Jan 2008,33
Dec 2007,32
Nov 2007,31
Oct 2007,32
Sep 2007,31
Aug 2007,32
Jul 2007,32
Jun 2007,31
May 2007,32
Apr 2007,31
Mar 2007,32
Feb 2007,29
Jan 2007,32
Dec 2006,27
Nov 2006,26
Oct 2006,27
Sep 2006,26
Aug 2006,27
Jul 2006,27
Jun 2006,26
May 2006,27
Apr 2006,26
Mar 2006,27
Feb 2006,24
Jan 2006,27
Dec 2005,17
Nov 2005,17
Oct 2005,17
Sep 2005,17
Aug 2005,17
Jul 2005,17
Jun 2005,17
May 2005,17
Apr 2005,17
Mar 2005,17
Feb 2005,16
Jan 2005,17
Dec 2004,14
Nov 2004,16
Oct 2004,18
Sep 2004,15
Aug 2004,17
Jul 2004,14
Jun 2004,14
May 2004,13
Apr 2004,13
Mar 2004,14
Feb 2004,12
Jan 2004,10
Dec 2003,11
Nov 2003,12
Oct 2003,15
Sep 2003,14
Aug 2003,12
Jul 2003,13
Jun 2003,12
May 2003,14
Apr 2003,12
Mar 2003,10
Feb 2003,9
Jan 2003,9
Dec 2002,13
Nov 2002,13
