Weekly Connecticut No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SCT_DPG&f=W
08:47:09 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly Connecticut No. 2 Heating Oil Residential Price Dollars per Gallon
03/28/2022,5.071
03/21/2022,4.829
03/14/2022,4.823
03/7/2022,5.065
02/28/2022,4.026
02/21/2022,3.929
02/14/2022,3.969
02/7/2022,3.931
01/31/2022,3.79
01/24/2022,3.675
01/17/2022,3.6
01/10/2022,3.44
01/3/2022,3.336
12/27/2021,3.299
12/20/2021,3.263
12/13/2021,3.278
12/6/2021,3.259
11/29/2021,3.301
11/22/2021,3.335
11/15/2021,3.372
11/8/2021,3.372
11/1/2021,3.38
10/25/2021,3.408
10/18/2021,3.355
10/11/2021,3.281
10/4/2021,3.17
03/29/2021,2.838
03/22/2021,2.868
03/15/2021,2.912
03/8/2021,2.895
03/1/2021,2.86
02/22/2021,2.82
02/15/2021,2.771
02/8/2021,2.669
02/1/2021,2.587
01/25/2021,2.546
01/18/2021,2.536
01/11/2021,2.502
01/4/2021,2.452
12/28/2020,2.444
12/21/2020,2.434
12/14/2020,2.324
12/7/2020,2.26
11/30/2020,2.232
11/23/2020,2.16
11/16/2020,2.123
11/9/2020,2.065
11/2/2020,2.023
10/26/2020,2.037
10/19/2020,2.05
10/12/2020,2.05
10/5/2020,2.052
03/30/2020,2.256
03/23/2020,2.279
03/16/2020,2.411
03/9/2020,2.637
03/2/2020,2.745
02/24/2020,2.848
02/17/2020,2.86
02/10/2020,2.859
02/3/2020,2.89
01/27/2020,3
01/20/2020,3.123
01/13/2020,3.176
01/6/2020,3.203
12/30/2019,3.145
12/23/2019,3.129
12/16/2019,3.077
12/9/2019,3.042
12/2/2019,3.029
11/25/2019,2.998
11/18/2019,2.991
11/11/2019,2.978
11/4/2019,2.968
10/28/2019,2.955
10/21/2019,2.966
10/14/2019,2.955
10/7/2019,2.956
03/25/2019,3.308
03/18/2019,3.31
03/11/2019,3.311
03/4/2019,3.309
02/25/2019,3.302
02/18/2019,3.298
02/11/2019,3.251
02/4/2019,3.256
01/28/2019,3.248
01/21/2019,3.247
01/14/2019,3.205
01/7/2019,3.127
12/31/2018,3.133
12/24/2018,3.174
12/17/2018,3.228
12/10/2018,3.247
12/3/2018,3.257
11/26/2018,3.315
11/19/2018,3.386
11/12/2018,3.447
11/5/2018,3.455
10/29/2018,3.48
10/22/2018,3.493
10/15/2018,3.484
10/8/2018,3.476
10/1/2018,3.42
03/26/2018,3.263
03/19/2018,3.212
03/12/2018,3.206
03/5/2018,3.23
02/26/2018,3.244
02/19/2018,3.238
02/12/2018,3.241
02/5/2018,3.348
01/29/2018,3.356
01/22/2018,3.371
01/15/2018,3.363
01/8/2018,3.32
01/1/2018,3.272
12/25/2017,3.038
12/18/2017,2.991
12/11/2017,3.029
12/4/2017,3.013
11/27/2017,2.98
11/20/2017,2.952
11/13/2017,2.936
11/6/2017,2.853
10/30/2017,2.801
10/23/2017,2.774
10/16/2017,2.753
10/9/2017,2.743
10/2/2017,2.752
03/27/2017,2.724
03/20/2017,2.76
03/13/2017,2.769
03/6/2017,2.785
02/27/2017,2.786
02/20/2017,2.786
02/13/2017,2.775
02/6/2017,2.774
01/30/2017,2.768
01/23/2017,2.772
01/16/2017,2.784
01/9/2017,2.805
01/2/2017,2.804
12/26/2016,2.746
12/19/2016,2.713
12/12/2016,2.634
12/5/2016,2.608
11/28/2016,2.512
11/21/2016,2.517
11/14/2016,2.526
11/7/2016,2.53
10/31/2016,2.514
10/24/2016,2.511
10/17/2016,2.503
10/10/2016,2.449
10/3/2016,2.39
03/28/2016,2.233
03/21/2016,2.238
03/14/2016,2.237
03/7/2016,2.199
02/29/2016,2.209
02/22/2016,2.192
02/15/2016,2.19
02/8/2016,2.168
02/1/2016,2.134
01/25/2016,2.132
01/18/2016,2.185
01/11/2016,2.249
01/4/2016,2.282
12/28/2015,2.279
12/21/2015,2.28
12/14/2015,2.3
12/7/2015,2.425
11/30/2015,2.475
11/23/2015,2.473
11/16/2015,2.511
11/9/2015,2.557
11/2/2015,2.534
10/26/2015,2.531
10/19/2015,2.536
10/12/2015,2.547
10/5/2015,2.534
03/30/2015,3
03/23/2015,3.079
03/16/2015,3.18
03/9/2015,3.388
03/2/2015,3.483
02/23/2015,3.33
02/16/2015,3.176
02/9/2015,3.017
02/2/2015,2.912
01/26/2015,2.919
01/19/2015,2.93
01/12/2015,3.003
01/5/2015,3.105
12/29/2014,3.17
12/22/2014,3.186
12/15/2014,3.245
12/8/2014,3.346
12/1/2014,3.427
11/24/2014,3.489
11/17/2014,3.496
11/10/2014,3.542
11/3/2014,3.562
10/27/2014,3.595
10/20/2014,3.608
10/13/2014,3.692
03/17/2014,4.273
03/10/2014,4.347
03/3/2014,4.338
02/24/2014,4.337
02/17/2014,4.349
02/10/2014,4.344
02/3/2014,4.352
01/27/2014,4.317
01/20/2014,4.218
01/13/2014,4.175
01/6/2014,4.183
12/30/2013,4.216
12/23/2013,4.134
12/16/2013,4.104
12/9/2013,4.119
12/2/2013,4.064
11/25/2013,4.038
11/18/2013,3.943
11/11/2013,3.943
11/4/2013,3.945
10/28/2013,3.925
10/21/2013,3.967
10/14/2013,3.952
10/7/2013,3.913
03/18/2013,4.143
03/11/2013,4.197
03/4/2013,4.199
02/25/2013,4.297
02/18/2013,4.33
02/11/2013,4.304
02/4/2013,4.198
01/28/2013,4.154
01/21/2013,4.137
01/14/2013,4.119
01/7/2013,4.112
12/31/2012,4.087
12/24/2012,4.078
12/17/2012,4.052
12/10/2012,4.049
12/3/2012,4.088
11/26/2012,4.085
11/19/2012,4.051
11/12/2012,4.07
11/5/2012,4.077
10/29/2012,4.103
10/22/2012,4.159
10/15/2012,4.132
10/8/2012,4.081
10/1/2012,4.072
03/19/2012,4.248
03/12/2012,4.249
03/5/2012,4.252
02/27/2012,4.268
02/20/2012,4.203
02/13/2012,4.192
02/6/2012,4.121
01/30/2012,4.099
01/23/2012,4.083
01/16/2012,4.113
01/9/2012,4.079
01/2/2012,3.95
12/26/2011,3.934
