Weekly New Jersey No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNJ_DPG&f=W
23:30:33 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New Jersey No. 2 Heating Oil Residential Price Dollars per Gallon
03/28/2022,5.343
03/21/2022,5.126
03/14/2022,5.181
03/7/2022,5.192
02/28/2022,4.344
02/21/2022,4.229
02/14/2022,4.236
02/7/2022,4.149
01/31/2022,4.044
01/24/2022,3.932
01/17/2022,3.86
01/10/2022,3.684
01/3/2022,3.59
12/27/2021,3.576
12/20/2021,3.539
12/13/2021,3.541
12/6/2021,3.49
11/29/2021,3.538
11/22/2021,3.558
11/15/2021,3.581
11/8/2021,3.58
11/1/2021,3.579
10/25/2021,3.597
10/18/2021,3.561
10/11/2021,3.443
10/4/2021,3.331
03/29/2021,3.167
03/22/2021,3.157
03/15/2021,3.184
03/8/2021,3.146
03/1/2021,3.113
02/22/2021,3.075
02/15/2021,2.933
02/8/2021,2.879
02/1/2021,2.868
01/25/2021,2.802
01/18/2021,2.783
01/11/2021,2.757
01/4/2021,2.667
12/28/2020,2.651
12/21/2020,2.642
12/14/2020,2.531
12/7/2020,2.464
11/30/2020,2.425
11/23/2020,2.376
11/16/2020,2.361
11/9/2020,2.281
11/2/2020,2.271
10/26/2020,2.272
10/19/2020,2.299
10/12/2020,2.277
10/5/2020,2.261
03/30/2020,2.525
03/23/2020,2.545
03/16/2020,2.732
03/9/2020,2.892
03/2/2020,3.008
02/24/2020,3.084
02/17/2020,3.073
02/10/2020,3.078
02/3/2020,3.137
01/27/2020,3.177
01/20/2020,3.27
01/13/2020,3.317
01/6/2020,3.318
12/30/2019,3.29
12/23/2019,3.265
12/16/2019,3.21
12/9/2019,3.203
12/2/2019,3.198
11/25/2019,3.209
11/18/2019,3.194
11/11/2019,3.198
11/4/2019,3.137
10/28/2019,3.138
10/21/2019,3.134
10/14/2019,3.127
10/7/2019,3.101
03/25/2019,3.27
03/18/2019,3.275
03/11/2019,3.28
03/4/2019,3.304
02/25/2019,3.326
02/18/2019,3.321
02/11/2019,3.276
02/4/2019,3.276
01/28/2019,3.258
01/21/2019,3.239
01/14/2019,3.216
01/7/2019,3.162
12/31/2018,3.171
12/24/2018,3.22
12/17/2018,3.248
12/10/2018,3.262
12/3/2018,3.26
11/26/2018,3.342
11/19/2018,3.372
11/12/2018,3.404
11/5/2018,3.404
10/29/2018,3.411
10/22/2018,3.408
10/15/2018,3.406
10/8/2018,3.394
10/1/2018,3.315
03/26/2018,3.192
03/19/2018,3.176
03/12/2018,3.191
03/5/2018,3.189
02/26/2018,3.195
02/19/2018,3.242
02/12/2018,3.262
02/5/2018,3.304
01/29/2018,3.317
01/22/2018,3.298
01/15/2018,3.298
01/8/2018,3.291
01/1/2018,3.183
12/25/2017,3.026
12/18/2017,3.019
12/11/2017,3.042
12/4/2017,3.022
11/27/2017,2.974
11/20/2017,2.96
11/13/2017,2.945
11/6/2017,2.858
10/30/2017,2.8
10/23/2017,2.773
10/16/2017,2.773
10/9/2017,2.779
10/2/2017,2.825
03/27/2017,2.661
03/20/2017,2.712
03/13/2017,2.736
03/6/2017,2.754
02/27/2017,2.759
02/20/2017,2.76
02/13/2017,2.765
02/6/2017,2.769
01/30/2017,2.754
01/23/2017,2.767
01/16/2017,2.767
