Weekly New York No. 2 Heating Oil Residential Price
https://www.eia.gov/dnav/pet/hist/LeafHandler.ashx?n=PET&s=W_EPD2F_PRS_SNY_DPG&f=W
09:24:36 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Week of,Weekly New York No. 2 Heating Oil Residential Price Dollars per Gallon
03/28/2022,5.315
03/21/2022,5.004
03/14/2022,5.001
03/7/2022,5.017
02/28/2022,4.256
02/21/2022,4.141
02/14/2022,4.154
02/7/2022,4.076
01/31/2022,3.982
01/24/2022,3.876
01/17/2022,3.814
01/10/2022,3.676
01/3/2022,3.62
12/27/2021,3.587
12/20/2021,3.546
12/13/2021,3.55
12/6/2021,3.491
11/29/2021,3.549
11/22/2021,3.582
11/15/2021,3.619
11/8/2021,3.614
11/1/2021,3.622
10/25/2021,3.641
10/18/2021,3.612
10/11/2021,3.517
10/4/2021,3.408
03/29/2021,3.004
03/22/2021,3.011
03/15/2021,3.038
03/8/2021,3.032
03/1/2021,3
02/22/2021,2.96
02/15/2021,2.888
02/8/2021,2.817
02/1/2021,2.742
01/25/2021,2.714
01/18/2021,2.705
01/11/2021,2.649
01/4/2021,2.611
12/28/2020,2.591
12/21/2020,2.581
12/14/2020,2.503
12/7/2020,2.482
11/30/2020,2.452
11/23/2020,2.398
11/16/2020,2.369
11/9/2020,2.347
11/2/2020,2.335
10/26/2020,2.334
10/19/2020,2.34
10/12/2020,2.307
10/5/2020,2.315
03/30/2020,2.583
03/23/2020,2.606
03/16/2020,2.806
03/9/2020,2.943
03/2/2020,3.007
02/24/2020,3.087
02/17/2020,3.104
02/10/2020,3.095
02/3/2020,3.126
01/27/2020,3.175
01/20/2020,3.236
01/13/2020,3.274
01/6/2020,3.289
12/30/2019,3.246
12/23/2019,3.237
12/16/2019,3.213
12/9/2019,3.194
12/2/2019,3.173
11/25/2019,3.172
11/18/2019,3.17
11/11/2019,3.156
11/4/2019,3.144
10/28/2019,3.141
10/21/2019,3.15
10/14/2019,3.148
10/7/2019,3.137
03/25/2019,3.536
03/18/2019,3.521
03/11/2019,3.539
03/4/2019,3.536
02/25/2019,3.528
02/18/2019,3.535
02/11/2019,3.456
02/4/2019,3.469
01/28/2019,3.456
01/21/2019,3.467
01/14/2019,3.43
01/7/2019,3.358
12/31/2018,3.357
12/24/2018,3.359
12/17/2018,3.444
12/10/2018,3.458
12/3/2018,3.444
11/26/2018,3.564
11/19/2018,3.637
11/12/2018,3.676
11/5/2018,3.695
10/29/2018,3.72
10/22/2018,3.715
10/15/2018,3.725
10/8/2018,3.715
10/1/2018,3.67
03/26/2018,3.409
03/19/2018,3.37
03/12/2018,3.378
03/5/2018,3.379
02/26/2018,3.385
02/19/2018,3.384
02/12/2018,3.405
02/5/2018,3.48
01/29/2018,3.492
01/22/2018,3.464
01/15/2018,3.477
01/8/2018,3.432
01/1/2018,3.39
12/25/2017,3.21
12/18/2017,3.163
12/11/2017,3.142
12/4/2017,3.113
11/27/2017,3.105
11/20/2017,3.083
11/13/2017,3.076
11/6/2017,3.022
10/30/2017,3.013
10/23/2017,2.982
10/16/2017,2.973
10/9/2017,2.951
10/2/2017,2.976
03/27/2017,2.863
03/20/2017,2.863
03/13/2017,2.883
03/6/2017,2.891
02/27/2017,2.922
02/20/2017,2.924
02/13/2017,2.924
02/6/2017,2.929
01/30/2017,2.892
01/23/2017,2.88
01/16/2017,2.887
01/9/2017,2.903
01/2/2017,2.896
12/26/2016,2.835
12/19/2016,2.842
12/12/2016,2.82
12/5/2016,2.792
11/28/2016,2.689
11/21/2016,2.678
11/14/2016,2.667
11/7/2016,2.678
10/31/2016,2.706
10/24/2016,2.707
10/17/2016,2.684
10/10/2016,2.688
10/3/2016,2.604
03/28/2016,2.407
03/21/2016,2.411
03/14/2016,2.405
03/7/2016,2.369
02/29/2016,2.365
02/22/2016,2.378
02/15/2016,2.399
02/8/2016,2.416
02/1/2016,2.394
01/25/2016,2.352
01/18/2016,2.424
01/11/2016,2.455
01/4/2016,2.454
12/28/2015,2.405
12/21/2015,2.492
12/14/2015,2.543
12/7/2015,2.6
11/30/2015,2.625
11/23/2015,2.663
11/16/2015,2.668
11/9/2015,2.718
11/2/2015,2.709
