Date,Barrels
2009-01-01,16058
2009-02-01,14876
2009-03-01,12962
2009-04-01,12883
2009-05-01,13497
2009-06-01,16975
2009-07-01,14945
2009-08-01,17928
2009-09-01,16759
2009-10-01,16451
2009-11-01,11673
2009-12-01,11770
2010-01-01,10594
2010-02-01,10979
2010-03-01,15536
2010-04-01,13031
2010-05-01,14026
2010-06-01,11825
2010-07-01,13224
2010-08-01,12881
2010-09-01,11372
2010-10-01,7307
2010-11-01,8378
2010-12-01,8983
2011-01-01,12379
2011-02-01,10565
2011-03-01,13906
2011-04-01,13882
2011-05-01,11963
2011-06-01,10061
2011-07-01,11907
2011-08-01,11958
2011-09-01,11564
2011-10-01,14331
2011-11-01,12013
2011-12-01,11604
2012-01-01,11117
2012-02-01,12467
2012-03-01,12317
2012-04-01,11895
2012-05-01,14212
2012-06-01,13076
2012-07-01,11319
2012-08-01,13657
2012-09-01,10947
2012-10-01,11418
2012-11-01,6501
2012-12-01,10234
2013-01-01,12689
2013-02-01,10230
2013-03-01,10482
2013-04-01,11227
2013-05-01,10844
2013-06-01,9927
2013-07-01,8963
2013-08-01,12920
2013-09-01,11911
2013-10-01,6231
2013-11-01,6909
2013-12-01,11659
2014-01-01,7863
2014-02-01,11217
2014-03-01,8803
2014-04-01,9411
2014-05-01,12556
2014-06-01,10125
2014-07-01,11070
2014-08-01,10242
2014-09-01,11407
2014-10-01,10590
2014-11-01,9134
2014-12-01,8763
2015-01-01,10672
2015-02-01,7706
2015-03-01,9639
2015-04-01,8075
2015-05-01,11676
2015-06-01,8819
2015-07-01,11821
2015-08-01,11850
2015-09-01,9276
2015-10-01,11132
2015-11-01,11180
2015-12-01,10869
2016-01-01,12146
2016-02-01,10156
2016-03-01,11965
2016-04-01,11340
2016-05-01,9477
2016-06-01,11311
2016-07-01,13007
2016-08-01,11700
2016-09-01,11813
2016-10-01,11815
2016-11-01,11073
2016-12-01,9850
2017-01-01,10843
2017-02-01,5155
2017-03-01,5695
2017-04-01,11185
2017-05-01,11036
2017-06-01,11703
2017-07-01,11598
2017-08-01,12723
2017-09-01,10760
2017-10-01,11603
2017-11-01,12386
2017-12-01,11725
2018-01-01,12124
2018-02-01,5609
2018-03-01,6095
2018-04-01,11001
2018-05-01,11694
2018-06-01,10665
2018-07-01,11052
2018-08-01,8706
2018-09-01,8074
2018-10-01,9670
2018-11-01,10390
2018-12-01,10254
2019-01-01,11416
2019-02-01,7026
2019-03-01,8540
2019-04-01,9394
2019-05-01,9352
2019-06-01,9980
2019-07-01,8928
2019-08-01,11343
2019-09-01,8713
2019-10-01,11128
2019-11-01,9093
2019-12-01,8814
2020-01-01,8475
2020-02-01,6953
2020-03-01,6423
2020-04-01,6363
2020-05-01,6561
2020-06-01,9019
2020-07-01,5753
2020-08-01,8405
2020-09-01,7341
2020-10-01,6595
2020-11-01,7692
2020-12-01,8292
2021-01-01,8551
2021-02-01,7393
2021-03-01,8285
2021-04-01,10284
2021-05-01,9597
2021-06-01,9073
2021-07-01,10872
2021-08-01,10585
2021-09-01,9558
2021-10-01,10515
2021-11-01,9750
2021-12-01,11318
2022-01-01,9205
2022-02-01,8460
2022-03-01,8492
2022-04-01,11139
2022-05-01,9841
2022-06-01,9693
