Date,DPG
2022-03-28,5.315
2022-03-21,5.004
2022-03-14,5.001
2022-03-07,5.017
2022-02-28,4.256
2022-02-21,4.141
2022-02-14,4.154
2022-02-07,4.076
2022-01-31,3.982
2022-01-24,3.876
2022-01-17,3.814
2022-01-10,3.676
2022-01-03,3.62
2021-12-27,3.587
2021-12-20,3.546
2021-12-13,3.55
2021-12-06,3.491
2021-11-29,3.549
2021-11-22,3.582
2021-11-15,3.619
2021-11-08,3.614
2021-11-01,3.622
2021-10-25,3.641
2021-10-18,3.612
2021-10-11,3.517
2021-10-04,3.408
2021-03-29,3.004
2021-03-22,3.011
2021-03-15,3.038
2021-03-08,3.032
2021-03-01,3.0
2021-02-22,2.96
2021-02-15,2.888
2021-02-08,2.817
2021-02-01,2.742
2021-01-25,2.714
2021-01-18,2.705
2021-01-11,2.649
2021-01-04,2.611
2020-12-28,2.591
2020-12-21,2.581
2020-12-14,2.503
2020-12-07,2.482
2020-11-30,2.452
2020-11-23,2.398
2020-11-16,2.369
2020-11-09,2.347
2020-11-02,2.335
2020-10-26,2.334
2020-10-19,2.34
2020-10-12,2.307
2020-10-05,2.315
2020-03-30,2.583
2020-03-23,2.606
2020-03-16,2.806
2020-03-09,2.943
2020-03-02,3.007
2020-02-24,3.087
2020-02-17,3.104
2020-02-10,3.095
2020-02-03,3.126
2020-01-27,3.175
2020-01-20,3.236
2020-01-13,3.274
2020-01-06,3.289
2019-12-30,3.246
2019-12-23,3.237
2019-12-16,3.213
2019-12-09,3.194
2019-12-02,3.173
2019-11-25,3.172
2019-11-18,3.17
2019-11-11,3.156
2019-11-04,3.144
2019-10-28,3.141
2019-10-21,3.15
2019-10-14,3.148
2019-10-07,3.137
2019-03-25,3.536
2019-03-18,3.521
2019-03-11,3.539
2019-03-04,3.536
2019-02-25,3.528
2019-02-18,3.535
2019-02-11,3.456
2019-02-04,3.469
2019-01-28,3.456
2019-01-21,3.467
2019-01-14,3.43
2019-01-07,3.358
2018-12-31,3.357
2018-12-24,3.359
2018-12-17,3.444
2018-12-10,3.458
2018-12-03,3.444
2018-11-26,3.564
2018-11-19,3.637
2018-11-12,3.676
2018-11-05,3.695
2018-10-29,3.72
2018-10-22,3.715
2018-10-15,3.725
2018-10-08,3.715
2018-10-01,3.67
2018-03-26,3.409
2018-03-19,3.37
2018-03-12,3.378
2018-03-05,3.379
2018-02-26,3.385
2018-02-19,3.384
2018-02-12,3.405
2018-02-05,3.48
2018-01-29,3.492
2018-01-22,3.464
2018-01-15,3.477
2018-01-08,3.432
2018-01-01,3.39
2017-12-25,3.21
2017-12-18,3.163
2017-12-11,3.142
2017-12-04,3.113
2017-11-27,3.105
2017-11-20,3.083
2017-11-13,3.076
2017-11-06,3.022
2017-10-30,3.013
2017-10-23,2.982
2017-10-16,2.973
2017-10-09,2.951
2017-10-02,2.976
2017-03-27,2.863
2017-03-20,2.863
2017-03-13,2.883
2017-03-06,2.891
2017-02-27,2.922
2017-02-20,2.924
2017-02-13,2.924
2017-02-06,2.929
2017-01-30,2.892
2017-01-23,2.88
2017-01-16,2.887
2017-01-09,2.903
2017-01-02,2.896
2016-12-26,2.835
2016-12-19,2.842
2016-12-12,2.82
2016-12-05,2.792
2016-11-28,2.689
2016-11-21,2.678
2016-11-14,2.667
2016-11-07,2.678
2016-10-31,2.706
2016-10-24,2.707
2016-10-17,2.684
2016-10-10,2.688
2016-10-03,2.604
2016-03-28,2.407
2016-03-21,2.411
2016-03-14,2.405
2016-03-07,2.369
2016-02-29,2.365
2016-02-22,2.378
2016-02-15,2.399
2016-02-08,2.416
2016-02-01,2.394
2016-01-25,2.352
2016-01-18,2.424
2016-01-11,2.455
2016-01-04,2.454
2015-12-28,2.405
2015-12-21,2.492
2015-12-14,2.543
2015-12-07,2.6
2015-11-30,2.625
2015-11-23,2.663
2015-11-16,2.668
2015-11-09,2.718
2015-11-02,2.709
2015-10-26,2.713
2015-10-19,2.704
2015-10-12,2.718
2015-10-05,2.707
2015-03-30,3.131
2015-03-23,3.152
2015-03-16,3.273
2015-03-09,3.43
2015-03-02,3.507
2015-02-23,3.423
2015-02-16,3.296
2015-02-09,3.123
2015-02-02,3.014
2015-01-26,3.036
2015-01-19,3.054
2015-01-12,3.134
2015-01-05,3.203
2014-12-29,3.298
2014-12-22,3.323
2014-12-15,3.373
2014-12-08,3.453
2014-12-01,3.573
2014-11-24,3.62
2014-11-17,3.647
2014-11-10,3.674
2014-11-03,3.69
2014-10-27,3.701
2014-10-20,3.714
2014-10-13,3.736
2014-03-17,4.338
2014-03-10,4.417
2014-03-03,4.469
2014-02-24,4.491
2014-02-17,4.46
2014-02-10,4.525
2014-02-03,4.482
2014-01-27,4.438
2014-01-20,4.27
2014-01-13,4.192
2014-01-06,4.197
2013-12-30,4.228
2013-12-23,4.181
2013-12-16,4.165
2013-12-09,4.171
2013-12-02,4.141
2013-11-25,4.113
2013-11-18,4.06
2013-11-11,4.05
2013-11-04,4.077
2013-10-28,4.089
2013-10-21,4.119
2013-10-14,4.121
2013-10-07,4.103
2013-03-18,4.289
2013-03-11,4.314
2013-03-04,4.312
2013-02-25,4.38
2013-02-18,4.402
2013-02-11,4.392
2013-02-04,4.342
2013-01-28,4.302
2013-01-21,4.274
2013-01-14,4.25
2013-01-07,4.259
2012-12-31,4.232
2012-12-24,4.237
2012-12-17,4.231
2012-12-10,4.28
2012-12-03,4.326
2012-11-26,4.338
2012-11-19,4.308
2012-11-12,4.299
2012-11-05,4.276
2012-10-29,4.266
2012-10-22,4.281
2012-10-15,4.308
2012-10-08,4.264
2012-10-01,4.237
2012-03-19,4.276
2012-03-12,4.266
2012-03-05,4.255
2012-02-27,4.273
2012-02-20,4.238
2012-02-13,4.232
2012-02-06,4.18
2012-01-30,4.169
2012-01-23,4.153
2012-01-16,4.152
2012-01-09,4.144
2012-01-02,4.083
2011-12-26,4.067
2011-12-19,4.059
2011-12-12,4.076
2011-12-05,4.102
2011-11-28,4.096
2011-11-21,4.14
2011-11-14,4.133
2011-11-07,4.079
2011-10-31,4.063
2011-10-24,4.014
2011-10-17,4.015
2011-10-10,3.895
2011-10-03,3.876
2011-03-14,4.025
2011-03-07,4.021
2011-02-28,3.951
2011-02-21,3.791
2011-02-14,3.764
2011-02-07,3.748
2011-01-31,3.702
2011-01-24,3.667
2011-01-17,3.638
2011-01-10,3.562
2011-01-03,3.51
2010-12-27,3.489
2010-12-20,3.441
2010-12-13,3.429
2010-12-06,3.392
2010-11-29,3.309
2010-11-22,3.302
2010-11-15,3.318
2010-11-08,3.281
2010-11-01,3.164
2010-10-25,3.159
2010-10-18,3.149
2010-10-11,3.13
2010-10-04,3.099
2010-03-15,3.086
2010-03-08,3.08
2010-03-01,3.066
2010-02-22,3.099
2010-02-15,3.037
2010-02-08,3.018
2010-02-01,3.051
2010-01-25,3.068
2010-01-18,3.109
2010-01-11,3.154
2010-01-04,3.046
2009-12-28,2.973
2009-12-21,2.938
2009-12-14,2.931
2009-12-07,2.947
2009-11-30,2.916
2009-11-23,2.917
2009-11-16,2.91
2009-11-09,2.926
2009-11-02,2.913
2009-10-26,2.885
2009-10-19,2.839
2009-10-12,2.742
2009-10-05,2.709
2009-03-16,2.393
2009-03-09,2.425
2009-03-02,2.447
2009-02-23,2.449
2009-02-16,2.525
2009-02-09,2.554
2009-02-02,2.576
2009-01-26,2.58
2009-01-19,2.587
2009-01-12,2.624
2009-01-05,2.532
2008-12-29,2.484
2008-12-22,2.597
2008-12-15,2.712
2008-12-08,2.716
2008-12-01,2.899
2008-11-24,2.908
2008-11-17,3.025
2008-11-10,3.101
2008-11-03,3.168
2008-10-27,3.242
2008-10-20,3.347
2008-10-13,3.503
2008-10-06,3.797
2008-03-17,3.942
2008-03-10,3.753
2008-03-03,3.655
2008-02-25,3.563
2008-02-18,3.54
2008-02-11,3.461
2008-02-04,3.461
2008-01-28,3.476
2008-01-21,3.476
2008-01-14,3.495
2008-01-07,3.524
2007-12-31,3.465
2007-12-24,3.418
2007-12-17,3.416
2007-12-10,3.398
2007-12-03,3.402
2007-11-26,3.407
2007-11-19,3.328
2007-11-12,3.322
2007-11-05,3.224
2007-10-29,3.051
2007-10-22,2.968
2007-10-15,2.889
2007-10-08,2.869
2007-03-12,2.586
2007-03-05,2.594
2007-02-26,2.579
2007-02-19,2.568
2007-02-12,2.576
2007-02-05,2.53
2007-01-29,2.5
2007-01-22,2.46
2007-01-15,2.484
2007-01-08,2.517
2007-01-01,2.534
2006-12-25,2.56
2006-12-18,2.558
2006-12-11,2.572
2006-12-04,2.566
2006-11-27,2.49
2006-11-20,2.482
2006-11-13,2.489
2006-11-06,2.478
2006-10-30,2.497
2006-10-23,2.509
2006-10-16,2.516
2006-10-09,2.534
2006-10-02,2.541
2006-03-13,2.554
2006-03-06,2.581
2006-02-27,2.56
2006-02-20,2.55
2006-02-13,2.582
2006-02-06,2.586
2006-01-30,2.6
2006-01-23,2.597
2006-01-16,2.581
2006-01-09,2.598
2006-01-02,2.6
2005-12-26,2.601
2005-12-19,2.603
2005-12-12,2.591
2005-12-05,2.585
2005-11-28,2.58
2005-11-21,2.604
2005-11-14,2.615
2005-11-07,2.649
2005-10-31,2.712
2005-10-24,2.728
2005-10-17,2.767
2005-10-10,2.75
2005-10-03,2.809
2005-03-14,2.25
2005-03-07,2.222
2005-02-28,2.195
2005-02-21,2.137
2005-02-14,2.147
2005-02-07,2.173
2005-01-31,2.211
2005-01-24,2.167
2005-01-17,2.147
2005-01-10,2.149
2005-01-03,2.145
2004-12-27,2.16
2004-12-20,2.177
2004-12-13,2.157
2004-12-06,2.144
2004-11-29,2.214
2004-11-22,2.206
2004-11-15,2.207
2004-11-08,2.181
2004-11-01,2.205
2004-10-25,2.199
2004-10-18,2.129
2004-10-11,2.049
2004-10-04,1.944
2004-03-15,1.706
2004-03-08,1.715
2004-03-01,1.719
2004-02-23,1.72
2004-02-16,1.73
2004-02-09,1.737
2004-02-02,1.746
2004-01-26,1.746
2004-01-19,1.723
2004-01-12,1.703
2004-01-05,1.628
2003-12-29,1.626
2003-12-22,1.619
2003-12-15,1.58
2003-12-08,1.552
2003-12-01,1.535
2003-11-24,1.535
2003-11-17,1.524
2003-11-10,1.504
2003-11-03,1.495
2003-10-27,1.509
2003-10-20,1.504
2003-10-13,1.519
2003-10-06,1.493
2003-03-17,1.933
2003-03-10,1.991
2003-03-03,1.966
2003-02-24,1.871
2003-02-17,1.833
2003-02-10,1.811
2003-02-03,1.65
2003-01-27,1.623
2003-01-20,1.589
2003-01-13,1.571
2003-01-06,1.557
2002-12-30,1.539
2002-12-23,1.498
2002-12-16,1.464
2002-12-09,1.43
2002-12-02,1.418
2002-11-25,1.413
2002-11-18,1.403
2002-11-11,1.407
2002-11-04,1.413
2002-10-28,1.407
2002-10-21,1.405
2002-10-14,1.403
2002-10-07,1.388
2002-03-18,1.335
2002-03-11,1.318
2002-03-04,1.267
2002-02-25,1.264
2002-02-18,1.263
2002-02-11,1.262
2002-02-04,1.27
2002-01-28,1.264
2002-01-21,1.264
2002-01-14,1.282
2002-01-07,1.296
2001-12-31,1.289
2001-12-24,1.277
2001-12-17,1.272
2001-12-10,1.274
2001-12-03,1.276
2001-11-26,1.28
2001-11-19,1.283
2001-11-12,1.303
2001-11-05,1.313
2001-10-29,1.343
2001-10-22,1.34
2001-10-15,1.348
2001-10-08,1.352
2001-10-01,1.366
2001-03-19,1.565
2001-03-12,1.586
2001-03-05,1.601
2001-02-26,1.611
2001-02-19,1.625
2001-02-12,1.64
2001-02-05,1.644
2001-01-29,1.674
2001-01-22,1.682
2001-01-15,1.686
2001-01-08,1.702
2001-01-01,1.71
2000-12-25,1.711
2000-12-18,1.715
2000-12-11,1.733
2000-12-04,1.727
2000-11-27,1.715
2000-11-20,1.69
2000-11-13,1.65
2000-11-06,1.648
2000-10-30,1.65
2000-10-23,1.652
2000-10-16,1.674
2000-10-09,1.614
2000-10-02,1.608
2000-03-20,1.53
2000-03-13,1.555
2000-03-06,1.558
2000-02-28,1.579
2000-02-21,1.636
2000-02-14,1.777
2000-02-07,2.123
2000-01-31,1.852
2000-01-24,1.775
2000-01-17,1.331
2000-01-03,1.282
1999-12-20,1.26
1999-12-06,1.249
1999-11-15,1.197
1999-11-01,1.157
1999-10-18,1.143
1999-10-04,1.137
1999-03-15,1.017
