NTA,JobsCreated,AverageSavings
Battery Park City-Lower Manhattan,8688.0,3798151.2388888896
Bushwick South,535.0,307800.031
Carroll Gardens-Columbia Street-Red Hook,687.0,184683.94545454546
College Point,421.0,574250.8085714285
Crown Heights North,70.0,17168.966666666667
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,4282.0,437390.4999999999
East New York,1070.0,457945.40111111116
East Williamsburg,413.0,143369.47909090907
Greenpoint,1535.0,177222.05857142856
Hunters Point-Sunnyside-West Maspeth,10095.0,160609.31960000002
Hunts Point,1423.0,397635.4492307691
Manhattanville,117.0,22030.588888888884
Maspeth,205.0,20783.175555555557
Mott Haven-Port Morris,978.0,159905.58428571429
Queensbridge-Ravenswood-Long Island City,5434.0,447198.66500000004
SoHo-TriBeCa-Civic Center-Little Italy,411.0,990867.5859999998
Springfield Gardens South-Brookville,338.0,362028.862
Steinway,269.0,255769.45285714287
Sunset Park West,1755.0,139256.485
park-cemetery-etc-Brooklyn,645.0,36740.328
